character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,friend,1,FALSE,,
2,priest,1,FALSE,,
3,James Moriarty,1,TRUE,nemesis,
3,Professor,1,FALSE,,
3,rogue,1,FALSE,,
3,coach,1,FALSE,,
3,Englishman,1,FALSE,,
4,rough,1,TRUE,,
4,Bludgeon-man,1,FALSE,,
5,porter,1,TRUE,,
6,Mycroft,1,TRUE,,
6,Coachman,1,FALSE,,
7,Peter Steiler,1,TRUE,,
7,Steiler,1,FALSE,,
7,landlord,1,FALSE,,
8,lad,1,TRUE,,
9,lady,1,TRUE,,
9,Country-woman,1,FALSE,,