character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,my illustrious friend,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,my companion,1,FALSE,,
2,Dr. Watson,1,TRUE,narrator,
2,Watson,1,FALSE,,
2,My close companion,1,FALSE,,
3,Lady Frances Carfax,1,TRUE,victim,
3,Lady Frances,1,FALSE,,
3,mistress,1,FALSE,,
3,lady,1,FALSE,,
3,Frances,1,FALSE,,
3,a handsome and spiritual woman of middle age,1,FALSE,,
3,Madame,1,FALSE,,
4,Earl of Rufton,1,TRUE,,
5,Miss Dobney,1,TRUE,,
5,Susan Dobney,1,FALSE,,
6,Miss Marie Devine,1,TRUE,,
6,Marie Devine,1,FALSE,,
6,sweetheart,1,FALSE,,
6,Marie,1,FALSE,,
7,M. Moser,1,TRUE,,
7,the manager of Cook,1,FALSE,,
7,the manager,1,FALSE,,
8,Jules Vibart,1,TRUE,,
8,Jules,1,FALSE,,
9,Lestrade,1,TRUE,detective2,
10,Henry Peters,1,TRUE,perpetrator,attempted murder
10,gentleman,1,FALSE,,
10,Rev. Dr. Shlessinger,1,FALSE,,
10,Dr. Shlessinger,1,FALSE,,
10,Shlessinger,1,FALSE,,
10,Mr. Peters,1,FALSE,,
10,"a big, clean-shaven bald-headed man",1,FALSE,,
10,Holy Peters,1,FALSE,,
10,Peters,1,FALSE,,
10,opponent,1,FALSE,,
10,antagonist,1,FALSE,,
11,Mrs. Hudson,1,TRUE,,
12,magistrate,1,TRUE,,
13,Fraser,1,TRUE,perpetrator2,attempted murder
13,Mrs. Shlessinger,1,FALSE,,
13,wife,1,FALSE,,
13,a tall woman,1,FALSE,,
13,Mrs. Peters,1,FALSE,,
13,Annie,1,FALSE,,
14,landlord,1,TRUE,,
15,ouvrier,1,TRUE,,
15,preserver,1,FALSE,,
16,Philip Green,1,TRUE,,
16,stranger,1,FALSE,,
16,miscreant,1,FALSE,,
16,a curious man,1,FALSE,,
16,assailant,1,FALSE,,
16,Mr. Green,1,FALSE,,
16,ruffian,1,FALSE,,
16,our bearded friend from the Langham,1,FALSE,,
16,Philip Green,1,FALSE,,
17,Dr. Horsom,1,TRUE,,
17,doctor,1,FALSE,,
18,sergeant,1,TRUE,,
19,constable,1,TRUE,,
20,the woman behind the counter,1,TRUE,,
21,the manager of the Englischer Hof,1,TRUE,,
22,Rose Spender,1,TRUE,,
22,a poor old woman of ninety,1,FALSE,,
22,old woman,1,FALSE,,