character,value,rule,identification,"role (narrator, detective, victim, perpetrator)"
1,Von Bork,1,TRUE,
1,German,1,FALSE,
1,spy,1,FALSE,
1,our friend upon the sofa,1,FALSE,
1,prisoner,1,FALSE,
1,Mister Von Bork,1,FALSE,
1,gentleman,1,FALSE,
1,Mr. Von Bork,1,FALSE,
2,Baron Von Herling,1,TRUE,
2,secretary,1,FALSE,
2,Baron,1,FALSE,
2,guest,1,FALSE,
2,Englishman,1,FALSE,
3,Mr. John Bull,1,TRUE,
4,cabinet minister,1,TRUE,
5,chancellor,1,TRUE,
6,Mr. Sherlock Holmes,1,TRUE,detective
6,Holmes,1,FALSE,
6,captor,1,FALSE,
6,Mr. Altamont,1,FALSE,
6,Altamont,1,FALSE,
6,Irish-American,1,FALSE,
6,American,1,FALSE,
6,passenger,1,FALSE,
6,visitor,1,FALSE,
7,gunner,1,TRUE,
8,Watson,1,TRUE,
8,the thickset chauffeur,1,FALSE,
8,his old friend,1,FALSE,
8,man,1,FALSE,
9,Foreign Minister,1,TRUE,
10,Premier,1,TRUE,
11,wife,1,TRUE,
12,the Baron's chauffeur,1,TRUE,
13,Martha,1,TRUE,
13,woman,1,FALSE,
13,lady,1,FALSE,
14,cat,1,TRUE,
15,agent,1,TRUE,
16,Prussian,1,TRUE,
17,Hollis,1,TRUE,
18,Steiner,1,TRUE,
19,landlady,1,TRUE,
20,Jack James,1,TRUE,
20,James,1,FALSE,